feature,keep_mean,filter_mean,diff,p_value,cohens_d,correlation,significant
risk_score,46.147157190635454,52.647937131630655,-6.500779940995201,4.575712587176744e-09,0.4318498126253253,0.20435756124745433,True
bars_since_flip,50.97658862876254,39.789783889980356,11.186804738782186,2.6136919704768233e-05,0.3081579855539369,0.14734267421223965,True
pause_ST,0.1505016722408027,0.25736738703339884,-0.10686571479259616,0.0003684458713784592,0.26062529408636215,0.125002300949291,True
ADX14,25.251571906354513,23.624656188605105,1.6269157177494087,0.0037025823147304655,0.21210298084543933,0.10199926785639025,True
sc_adx,3.230769230769231,2.9214145383104126,0.3093546924588182,0.015471640640896492,0.17678992107196304,0.08515271867699775,True
sc_atr,4.725752508361204,4.520628683693516,0.20512382466768742,0.026140385201983193,0.16235703750247346,0.07824540914010406,True
ATR_pct,0.7625625418060201,0.7116611001964637,0.05090144160955645,0.057844602986104665,0.13841063183364966,0.06676067964284933,False
sc_stdist,4.033444816053512,4.18860510805501,-0.15516029200149806,0.07343398009762978,0.13060537655760807,0.06301130249162488,False
sc_4h,3.4448160535117056,3.968565815324165,-0.5237497618124594,0.1384630368047686,0.10805748256376234,0.05216562458394074,False
align,0.3411371237458194,0.3929273084479371,-0.051790184702117714,0.1484320914770469,0.10539569271985431,0.05088399298643365,False
sc_flip,8.856187290969899,8.607072691552062,0.24911459941783676,0.16689918100972342,0.10080584710345901,0.04867343012757101,False
bbw_rank,58.61744966442953,60.88385826771653,-2.2664086032870046,0.1741538913675491,0.09924856619452589,0.04778931947636953,False
close_position,0.5023016722408027,0.5274465618860511,-0.025144889645248414,0.24688994306260595,0.08443283820051067,0.040782252955302,False
sc_vol,3.2441471571906355,3.3831041257367387,-0.13895696854610318,0.3076836597070526,0.07437492776197319,0.03593083561252106,False
sc_body,4.966555183946488,4.754420432220039,0.2121347517264489,0.37147778308535007,0.0651552674374046,0.03148150584402882,False
ER20,0.2277210702341137,0.21894322200392927,0.008777848230184432,0.42790301180291,0.0577944480011377,0.027927880048576964,False
MA30_slope,-0.002625083612040136,0.00109705304518664,-0.0037221366572267756,0.4632317364434291,0.053473634787488525,0.025841393844991532,False
RSI14,49.819531772575246,50.472357563850686,-0.6528257912754398,0.5012255305648637,0.04902748948389857,0.023694033436257464,False
vol_ratio,1.729715719063545,1.789337917485265,-0.05962219842172001,0.5490125139015716,0.043681290804238354,0.021111541438988985,False
range_atr,1.26788127090301,1.2866481335952848,-0.01876686269227479,0.6767175710157803,0.030391324043646875,0.014690075915773414,False
break_distance_atr,-2.1489762541806017,-2.096338703339882,-0.05263755084071953,0.6978069652327674,0.028301800840423018,0.013680271347608321,False
sc_er,4.648829431438127,4.538310412573674,0.11051901886445314,0.7135875236596644,0.02675346788828954,0.01293198079806637,False
sc_wick,5.173913043478261,5.255402750491159,-0.08148970701289837,0.7441672483758506,0.023786489508588804,0.011498016470680002,False
st_distance_atr,-0.01944548494983281,0.05103752455795676,-0.07048300950778957,0.7553347329570088,0.022712995265907563,0.010979170196025505,False
score,48.07357859531773,47.848722986247544,0.22485560907018254,0.798153754467467,0.01864011783340498,0.00901057086255329,False
body_atr,0.5798441471571906,0.5890003929273084,-0.009156245770117866,0.8093236424059285,0.017587684870828763,0.008501866147479446,False
squeeze,0.16387959866220736,0.16699410609037327,-0.003114507428165908,0.908646757137842,0.008363417443927606,0.004042979217482246,False
wick_ratio,0.5675886287625418,0.569524557956778,-0.001935929194236241,0.916517548925244,0.007640068169608596,0.0036933082459293847,False
sc_brk,5.749163879598663,5.711198428290766,0.037965451307896636,0.9399516001481807,0.005490585238726788,0.0026542290149663555,False
trend_age,0.0,0.0,0.0,,0.0,,False
